timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1634146527194674 0.247357771 0.353321761 -5.564051151 0.887201071 0.858240247 1.433850050 -0.004042463 -0.061968561 -0.056995772 0.996441245 0.159694105 -0.167702511 -0.007362730
1634146527246758 0.289385200 0.405191571 -5.492269993 0.935438514 0.903710663 1.351425290 -0.003767266 -0.057438657 -0.052763626 0.996946692 0.166650385 -0.177098081 -0.014920380
1634146527294758 0.330600142 0.454528213 -5.429716110 0.973513722 0.938993931 1.283160806 -0.003482062 -0.052942809 -0.048441023 0.997415900 0.195704669 -0.195463449 -0.011611435
1634146527346842 0.378305048 0.508522630 -5.366045475 1.011316776 0.972941518 1.186650753 -0.003151687 -0.047710255 -0.042990912 0.997930706 0.222678766 -0.205232456 -0.012696988
1634146527394842 0.424166411 0.559441447 -5.311419964 1.039207458 0.997632444 1.113510489 -0.002790887 -0.042621132 -0.037526492 0.998382390 0.235374719 -0.211958885 -0.011837376
1634146527446926 0.476003259 0.614840865 -5.256173611 1.064286590 1.017449737 1.009531856 -0.002337409 -0.036638949 -0.030831432 0.998850167 0.276202589 -0.248723239 -0.016629444
1634146527494926 0.525001407 0.666397095 -5.210036755 1.079864025 1.027681231 0.928003013 -0.001897611 -0.030488709 -0.024246307 0.999239266 0.267401814 -0.259059161 -0.019982090
1634146527547010 0.579330385 0.721901774 -5.164956093 1.090833187 1.030023575 0.818749964 -0.001422578 -0.023505945 -0.017046792 0.999577403 0.284718782 -0.275884688 -0.016049815
1634146527595010 0.628591895 0.775297046 -5.127992630 1.091933131 1.024556518 0.736503839 -0.001014435 -0.016801869 -0.010484283 0.999803364 0.253713399 -0.272875637 -0.018434161
1634146527647094 0.680646002 0.835173070 -5.092424393 1.084757924 1.013415933 0.637584567 -0.000649946 -0.009656576 -0.004073092 0.999944866 0.249245867 -0.272897869 -0.014174763
1634146527695094 0.728516519 0.889239371 -5.063828945 1.070781112 0.997220695 0.565656185 -0.000327517 -0.003467117 0.001497767 0.999992907 0.218873173 -0.239457831 -0.016439550
1634146527747178 0.780371904 0.945372641 -5.036952972 1.050087094 0.972829640 0.484133601 -0.000057757 0.002443668 0.007150685 0.999971509 0.224735305 -0.215719372 -0.010369024
1634146527795178 0.827380300 0.995548189 -5.015659332 1.025844216 0.945183396 0.427869707 0.000160121 0.007200240 0.012112170 0.999900758 0.189249381 -0.177496895 -0.009061339
1634146527847262 0.877564847 1.047245502 -4.995391369 0.995539129 0.911200941 0.366481483 0.000312644 0.011636356 0.016966317 0.999788284 0.184222415 -0.169801489 -0.003538221
1634146527895262 0.922639489 1.093039393 -4.979166031 0.966128290 0.876662970 0.325327873 0.000363732 0.015440791 0.021078510 0.999658585 0.152040750 -0.146583691 -0.001918890
1634146527947346 0.970238984 1.139934421 -4.963666916 0.929280758 0.834216356 0.282356650 0.000432342 0.019255904 0.024946548 0.999503314 0.148203611 -0.148989558 -0.002410718
1634146527995346 1.011350751 1.184275627 -4.951290607 0.893292546 0.795011699 0.256036073 0.000424436 0.022697860 0.028187878 0.999344885 0.116832063 -0.131132171 -0.000827196
1634146528047430 1.052760959 1.233491540 -4.939215183 0.850906074 0.752532482 0.231049851 0.000407709 0.026049148 0.031017093 0.999179363 0.115648337 -0.129302680 0.000693894
1634146528095430 1.089279652 1.276280642 -4.929139137 0.809493363 0.712289453 0.218688965 0.000313295 0.028964896 0.033650681 0.999013841 0.105050288 -0.104346938 0.003688084
1634146528147507 1.127344251 1.318618655 -4.918572426 0.763239741 0.666115999 0.210627154 0.000166369 0.031454653 0.036277674 0.998846650 0.110698365 -0.090997890 0.003949570
1634146528195507 1.160564542 1.355006456 -4.909168720 0.720732629 0.622436583 0.211391717 0.000033034 0.033401255 0.038789067 0.998688996 0.100594617 -0.068392672 0.005314557
1634146528247585 1.194813132 1.390622616 -4.898548603 0.673701704 0.572773874 0.218910888 -0.000200460 0.034936190 0.041106917 0.998543739 0.083269402 -0.054880377 0.010468246
1634146528295585 1.224435329 1.420776010 -4.888151169 0.630854666 0.526996076 0.232350484 -0.000370479 0.036132783 0.042903800 0.998425603 0.061020069 -0.041021142 0.008001278
